symbol,date,price
azul,Jan 2000,39.81
azul,Feb 2000,36.35
azul,Mar 2000,43.22
azul,Apr 2000,28.37
azul,May 2000,25.45
azul,Jun 2000,32.54
azul,Jul 2000,28.4
azul,Aug 2000,28.4
azul,Sep 2000,24.53
azul,Oct 2000,28.02
azul,Nov 2000,23.34
azul,Dec 2000,17.65
azul,Jan 2001,24.84
azul,Feb 2001,24
azul,Mar 2001,22.25
azul,Apr 2001,27.56
azul,May 2001,28.14
azul,Jun 2001,29.7
azul,Jul 2001,26.93
azul,Aug 2001,23.21
azul,Sep 2001,20.82
azul,Oct 2001,23.65
azul,Nov 2001,26.12
azul,Dec 2001,26.95
azul,Jan 2002,25.92
azul,Feb 2002,23.73
azul,Mar 2002,24.53
azul,Apr 2002,21.26
azul,May 2002,20.71
azul,Jun 2002,22.25
azul,Jul 2002,19.52
azul,Aug 2002,19.97
azul,Sep 2002,17.79
azul,Oct 2002,21.75
azul,Nov 2002,23.46
azul,Dec 2002,21.03
azul,Jan 2003,19.31
azul,Feb 2003,19.34
azul,Mar 2003,19.76
azul,Apr 2003,20.87
azul,May 2003,20.09
azul,Jun 2003,20.93
azul,Jul 2003,21.56
azul,Aug 2003,21.65
azul,Sep 2003,22.69
azul,Oct 2003,21.45
azul,Nov 2003,21.1
azul,Dec 2003,22.46
azul,Jan 2004,22.69
azul,Feb 2004,21.77
azul,Mar 2004,20.46
azul,Apr 2004,21.45
azul,May 2004,21.53
azul,Jun 2004,23.44
azul,Jul 2004,23.38
azul,Aug 2004,22.47
azul,Sep 2004,22.76
azul,Oct 2004,23.02
azul,Nov 2004,24.6
azul,Dec 2004,24.52
azul,Jan 2005,24.11
azul,Feb 2005,23.15
azul,Mar 2005,22.24
azul,Apr 2005,23.28
azul,May 2005,23.82
azul,Jun 2005,22.93
azul,Jul 2005,23.64
azul,Aug 2005,25.35
azul,Sep 2005,23.83
azul,Oct 2005,23.8
azul,Nov 2005,25.71
azul,Dec 2005,24.29
azul,Jan 2006,26.14
azul,Feb 2006,25.04
azul,Mar 2006,25.36
azul,Apr 2006,22.5
azul,May 2006,21.19
azul,Jun 2006,21.8
azul,Jul 2006,22.51
azul,Aug 2006,24.13
azul,Sep 2006,25.68
azul,Oct 2006,26.96
azul,Nov 2006,27.66
azul,Dec 2006,28.13
azul,Jan 2007,29.07
azul,Feb 2007,26.63
azul,Mar 2007,26.35
azul,Apr 2007,28.3
azul,May 2007,29.11
azul,Jun 2007,27.95
azul,Jul 2007,27.5
azul,Aug 2007,27.34
azul,Sep 2007,28.04
azul,Oct 2007,35.03
azul,Nov 2007,32.09
azul,Dec 2007,34
azul,Jan 2008,31.13
azul,Feb 2008,26.07
azul,Mar 2008,27.21
azul,Apr 2008,27.34
azul,May 2008,27.25
azul,Jun 2008,26.47
azul,Jul 2008,24.75
azul,Aug 2008,26.36
azul,Sep 2008,25.78
azul,Oct 2008,21.57
azul,Nov 2008,19.66
azul,Dec 2008,18.91
azul,Jan 2009,16.63
azul,Feb 2009,15.81
azul,Mar 2009,17.99
azul,Apr 2009,19.84
azul,May 2009,20.59
azul,Jun 2009,23.42
azul,Jul 2009,23.18
azul,Aug 2009,24.43
azul,Sep 2009,25.49
azul,Oct 2009,27.48
azul,Nov 2009,29.27
azul,Dec 2009,30.34
azul,Jan 2010,28.05
azul,Feb 2010,28.67
azul,Mar 2010,28.8
naranja,Jan 2000,64.56
naranja,Feb 2000,68.87
naranja,Mar 2000,67
naranja,Apr 2000,55.19
naranja,May 2000,48.31
naranja,Jun 2000,36.31
naranja,Jul 2000,30.12
naranja,Aug 2000,41.5
naranja,Sep 2000,38.44
naranja,Oct 2000,36.62
naranja,Nov 2000,24.69
naranja,Dec 2000,15.56
naranja,Jan 2001,17.31
naranja,Feb 2001,10.19
naranja,Mar 2001,10.23
naranja,Apr 2001,15.78
naranja,May 2001,16.69
naranja,Jun 2001,14.15
naranja,Jul 2001,12.49
naranja,Aug 2001,8.94
naranja,Sep 2001,5.97
naranja,Oct 2001,6.98
naranja,Nov 2001,11.32
naranja,Dec 2001,10.82
naranja,Jan 2002,14.19
naranja,Feb 2002,14.1
naranja,Mar 2002,14.3
naranja,Apr 2002,16.69
naranja,May 2002,18.23
naranja,Jun 2002,16.25
naranja,Jul 2002,14.45
naranja,Aug 2002,14.94
naranja,Sep 2002,15.93
naranja,Oct 2002,19.36
naranja,Nov 2002,23.35
naranja,Dec 2002,18.89
naranja,Jan 2003,21.85
naranja,Feb 2003,22.01
naranja,Mar 2003,26.03
naranja,Apr 2003,28.69
naranja,May 2003,35.89
naranja,Jun 2003,36.32
naranja,Jul 2003,41.64
naranja,Aug 2003,46.32
naranja,Sep 2003,48.43
naranja,Oct 2003,54.43
naranja,Nov 2003,53.97
naranja,Dec 2003,52.62
naranja,Jan 2004,50.4
naranja,Feb 2004,43.01
naranja,Mar 2004,43.28
naranja,Apr 2004,43.6
naranja,May 2004,48.5
naranja,Jun 2004,54.4
naranja,Jul 2004,38.92
naranja,Aug 2004,38.14
naranja,Sep 2004,40.86
naranja,Oct 2004,34.13
naranja,Nov 2004,39.68
naranja,Dec 2004,44.29
naranja,Jan 2005,43.22
naranja,Feb 2005,35.18
naranja,Mar 2005,34.27
naranja,Apr 2005,32.36
naranja,May 2005,35.51
naranja,Jun 2005,33.09
naranja,Jul 2005,45.15
naranja,Aug 2005,42.7
naranja,Sep 2005,45.3
naranja,Oct 2005,39.86
naranja,Nov 2005,48.46
naranja,Dec 2005,47.15
naranja,Jan 2006,44.82
naranja,Feb 2006,37.44
naranja,Mar 2006,36.53
naranja,Apr 2006,35.21
naranja,May 2006,34.61
naranja,Jun 2006,38.68
naranja,Jul 2006,26.89
naranja,Aug 2006,30.83
naranja,Sep 2006,32.12
naranja,Oct 2006,38.09
naranja,Nov 2006,40.34
naranja,Dec 2006,39.46
naranja,Jan 2007,37.67
naranja,Feb 2007,39.14
naranja,Mar 2007,39.79
naranja,Apr 2007,61.33
naranja,May 2007,69.14
naranja,Jun 2007,68.41
naranja,Jul 2007,78.54
naranja,Aug 2007,79.91
naranja,Sep 2007,93.15
naranja,Oct 2007,89.15
naranja,Nov 2007,90.56
naranja,Dec 2007,92.64
naranja,Jan 2008,77.7
naranja,Feb 2008,64.47
naranja,Mar 2008,71.3
naranja,Apr 2008,78.63
naranja,May 2008,81.62
naranja,Jun 2008,73.33
naranja,Jul 2008,76.34
naranja,Aug 2008,80.81
naranja,Sep 2008,72.76
naranja,Oct 2008,57.24
naranja,Nov 2008,42.7
naranja,Dec 2008,51.28
naranja,Jan 2009,58.82
naranja,Feb 2009,64.79
naranja,Mar 2009,73.44
naranja,Apr 2009,80.52
naranja,May 2009,77.99
naranja,Jun 2009,83.66
naranja,Jul 2009,85.76
naranja,Aug 2009,81.19
naranja,Sep 2009,93.36
naranja,Oct 2009,118.81
naranja,Nov 2009,135.91
naranja,Dec 2009,134.52
naranja,Jan 2010,125.41
naranja,Feb 2010,118.4
naranja,Mar 2010,128.82
verde,Jan 2000,100.52
verde,Feb 2000,92.11
verde,Mar 2000,106.11
verde,Apr 2000,99.95
verde,May 2000,96.31
verde,Jun 2000,98.33
verde,Jul 2000,100.74
verde,Aug 2000,118.62
verde,Sep 2000,101.19
verde,Oct 2000,88.5
verde,Nov 2000,84.12
verde,Dec 2000,76.47
verde,Jan 2001,100.76
verde,Feb 2001,89.98
verde,Mar 2001,86.63
verde,Apr 2001,103.7
verde,May 2001,100.82
verde,Jun 2001,102.35
verde,Jul 2001,94.87
verde,Aug 2001,90.25
verde,Sep 2001,82.82
verde,Oct 2001,97.58
verde,Nov 2001,104.5
verde,Dec 2001,109.36
verde,Jan 2002,97.54
verde,Feb 2002,88.82
verde,Mar 2002,94.15
verde,Apr 2002,75.82
verde,May 2002,72.97
verde,Jun 2002,65.31
verde,Jul 2002,63.86
verde,Aug 2002,68.52
verde,Sep 2002,53.01
verde,Oct 2002,71.76
verde,Nov 2002,79.16
verde,Dec 2002,70.58
verde,Jan 2003,71.22
verde,Feb 2003,71.13
verde,Mar 2003,71.57
verde,Apr 2003,77.47
verde,May 2003,80.48
verde,Jun 2003,75.42
verde,Jul 2003,74.28
verde,Aug 2003,75.12
verde,Sep 2003,80.91
verde,Oct 2003,81.96
verde,Nov 2003,83.08
verde,Dec 2003,85.05
verde,Jan 2004,91.06
verde,Feb 2004,88.7
verde,Mar 2004,84.41
verde,Apr 2004,81.04
verde,May 2004,81.59
verde,Jun 2004,81.19
verde,Jul 2004,80.19
verde,Aug 2004,78.17
verde,Sep 2004,79.13
verde,Oct 2004,82.84
verde,Nov 2004,87.15
verde,Dec 2004,91.16
verde,Jan 2005,86.39
verde,Feb 2005,85.78
verde,Mar 2005,84.66
verde,Apr 2005,70.77
verde,May 2005,70.18
verde,Jun 2005,68.93
verde,Jul 2005,77.53
verde,Aug 2005,75.07
verde,Sep 2005,74.7
verde,Oct 2005,76.25
verde,Nov 2005,82.98
verde,Dec 2005,76.73
verde,Jan 2006,75.89
verde,Feb 2006,75.09
verde,Mar 2006,77.17
verde,Apr 2006,77.05
verde,May 2006,75.04
verde,Jun 2006,72.15
verde,Jul 2006,72.7
verde,Aug 2006,76.35
verde,Sep 2006,77.26
verde,Oct 2006,87.06
verde,Nov 2006,86.95
verde,Dec 2006,91.9
verde,Jan 2007,93.79
verde,Feb 2007,88.18
verde,Mar 2007,89.44
verde,Apr 2007,96.98
verde,May 2007,101.54
verde,Jun 2007,100.25
verde,Jul 2007,105.4
verde,Aug 2007,111.54
verde,Sep 2007,112.6
verde,Oct 2007,111
verde,Nov 2007,100.9
verde,Dec 2007,103.7
verde,Jan 2008,102.75
verde,Feb 2008,109.64
verde,Mar 2008,110.87
verde,Apr 2008,116.23
verde,May 2008,125.14
verde,Jun 2008,114.6
verde,Jul 2008,123.74
verde,Aug 2008,118.16
verde,Sep 2008,113.53
verde,Oct 2008,90.24
verde,Nov 2008,79.65
verde,Dec 2008,82.15
verde,Jan 2009,89.46
verde,Feb 2009,90.32
verde,Mar 2009,95.09
verde,Apr 2009,101.29
verde,May 2009,104.85
verde,Jun 2009,103.01
verde,Jul 2009,116.34
verde,Aug 2009,117
verde,Sep 2009,118.55
verde,Oct 2009,119.54
verde,Nov 2009,125.79
verde,Dec 2009,130.32
verde,Jan 2010,121.85
verde,Feb 2010,127.16
verde,Mar 2010,125.55
rojo,Jan 2000,25.94
rojo,Feb 2000,28.66
rojo,Mar 2000,33.95
rojo,Apr 2000,31.01
rojo,May 2000,21
rojo,Jun 2000,26.19
rojo,Jul 2000,25.41
rojo,Aug 2000,30.47
rojo,Sep 2000,12.88
rojo,Oct 2000,9.78
rojo,Nov 2000,8.25
rojo,Dec 2000,7.44
rojo,Jan 2001,10.81
rojo,Feb 2001,9.12
rojo,Mar 2001,11.03
rojo,Apr 2001,12.74
rojo,May 2001,9.98
rojo,Jun 2001,11.62
rojo,Jul 2001,9.4
rojo,Aug 2001,9.27
rojo,Sep 2001,7.76
rojo,Oct 2001,8.78
rojo,Nov 2001,10.65
rojo,Dec 2001,10.95
rojo,Jan 2002,12.36
rojo,Feb 2002,10.85
rojo,Mar 2002,11.84
rojo,Apr 2002,12.14
rojo,May 2002,11.65
rojo,Jun 2002,8.86
rojo,Jul 2002,7.63
rojo,Aug 2002,7.38
rojo,Sep 2002,7.25
rojo,Oct 2002,8.03
rojo,Nov 2002,7.75
rojo,Dec 2002,7.16
rojo,Jan 2003,7.18
rojo,Feb 2003,7.51
rojo,Mar 2003,7.07
rojo,Apr 2003,7.11
rojo,May 2003,8.98
rojo,Jun 2003,9.53
rojo,Jul 2003,10.54
rojo,Aug 2003,11.31
rojo,Sep 2003,10.36
rojo,Oct 2003,11.44
rojo,Nov 2003,10.45
rojo,Dec 2003,10.69
rojo,Jan 2004,11.28
rojo,Feb 2004,11.96
rojo,Mar 2004,13.52
rojo,Apr 2004,12.89
rojo,May 2004,14.03
rojo,Jun 2004,16.27
rojo,Jul 2004,16.17
rojo,Aug 2004,17.25
rojo,Sep 2004,19.38
rojo,Oct 2004,26.2
rojo,Nov 2004,33.53
rojo,Dec 2004,32.2
rojo,Jan 2005,38.45
rojo,Feb 2005,44.86
rojo,Mar 2005,41.67
rojo,Apr 2005,36.06
rojo,May 2005,39.76
rojo,Jun 2005,36.81
rojo,Jul 2005,42.65
rojo,Aug 2005,46.89
rojo,Sep 2005,53.61
rojo,Oct 2005,57.59
rojo,Nov 2005,67.82
rojo,Dec 2005,71.89
rojo,Jan 2006,75.51
rojo,Feb 2006,68.49
rojo,Mar 2006,62.72
rojo,Apr 2006,70.39
rojo,May 2006,59.77
rojo,Jun 2006,57.27
rojo,Jul 2006,67.96
rojo,Aug 2006,67.85
rojo,Sep 2006,76.98
rojo,Oct 2006,81.08
rojo,Nov 2006,91.66
rojo,Dec 2006,84.84
rojo,Jan 2007,85.73
rojo,Feb 2007,84.61
rojo,Mar 2007,92.91
rojo,Apr 2007,99.8
rojo,May 2007,121.19
rojo,Jun 2007,122.04
rojo,Jul 2007,131.76
rojo,Aug 2007,138.48
rojo,Sep 2007,153.47
rojo,Oct 2007,189.95
rojo,Nov 2007,182.22
rojo,Dec 2007,198.08
rojo,Jan 2008,135.36
rojo,Feb 2008,125.02
rojo,Mar 2008,143.5
rojo,Apr 2008,173.95
rojo,May 2008,188.75
rojo,Jun 2008,167.44
rojo,Jul 2008,158.95
rojo,Aug 2008,169.53
rojo,Sep 2008,113.66
rojo,Oct 2008,107.59
rojo,Nov 2008,92.67
rojo,Dec 2008,85.35
rojo,Jan 2009,90.13
rojo,Feb 2009,89.31
rojo,Mar 2009,105.12
rojo,Apr 2009,125.83
rojo,May 2009,135.81
rojo,Jun 2009,142.43
rojo,Jul 2009,163.39
rojo,Aug 2009,168.21
rojo,Sep 2009,185.35
rojo,Oct 2009,188.5
rojo,Nov 2009,199.91
rojo,Dec 2009,210.73
rojo,Jan 2010,192.06
rojo,Feb 2010,204.62
rojo,Mar 2010,223.02
